,seed,D,runtime_sec,lr,K,n_clients,lambda,N,algorithm,Log-likelihood,err_true,err_central
28,0,10,1371.9979560375214,0.0005,6,10,1.0,50,central,-86.70506956878504,4.770281850331641,
29,0,10,1371.9979560375214,0.0005,6,10,1.0,50,local,-602.0202770564006,11.684876461708802,11.320894707022578
30,0,10,1371.9979560375214,0.0005,6,10,1.0,50,fl,-23.09269378909399,9.541970208326948,9.246143865170888
32,8,10,1477.2315363883972,0.0005,6,10,1.0,25,central,-9.629951725947896,0.28510978457462444,
33,8,10,1477.2315363883972,0.0005,6,10,1.0,25,local,-1182.2648359770903,16.032018876447648,15.99258347550265
34,8,10,1477.2315363883972,0.0005,6,10,1.0,25,fl,-25.58134914909071,14.410450107994896,14.3705857906081
40,8,10,260.32422733306885,0.0005,6,10,0.0,10,central,-10.175491834900996,0.4274062623373056,
41,8,10,260.32422733306885,0.0005,6,10,0.0,10,local,-4901.150647560617,16.083434622657016,16.078109342105
42,8,10,260.32422733306885,0.0005,6,10,0.0,10,fl,-4316.983779365333,16.0584070441324,16.07166234208868
56,5,10,106.32630038261414,0.0005,6,10,0.0,25,central,-9.707418665473238,0.27025449375171634,
57,5,10,106.32630038261414,0.0005,6,10,0.0,25,local,-1025.787263350688,13.601092134644773,13.600627962019228
58,5,10,106.32630038261414,0.0005,6,10,0.0,25,fl,-1049.0680718981157,13.370712908232457,13.367417131570098
96,5,10,1325.3270380496979,0.0005,6,10,1.0,10,central,-10.067619072105519,0.36176784066543144,
97,5,10,1325.3270380496979,0.0005,6,10,1.0,10,local,-5578.527958559003,13.898049390311485,13.899389628413491
98,5,10,1325.3270380496979,0.0005,6,10,1.0,10,fl,-30.272316955352757,13.122684861561885,13.128682590146308
100,9,10,1286.2943241596222,0.0005,6,10,0.5,10,central,-10.129485543565721,0.354273826251071,
101,9,10,1286.2943241596222,0.0005,6,10,0.5,10,local,-3986.6780714451343,13.342294185588312,13.322146066105114
102,9,10,1286.2943241596222,0.0005,6,10,0.5,10,fl,-31.59804503520411,12.764087962776454,12.732115721965867
108,3,10,1378.1472079753876,0.0005,6,10,1.0,100,central,-9.19909178737266,0.1334791421625768,
109,3,10,1378.1472079753876,0.0005,6,10,1.0,100,local,-789.3965685076148,15.004755517076642,14.98556472163494
110,3,10,1378.1472079753876,0.0005,6,10,1.0,100,fl,-20.740320202994315,13.042624358477664,13.020356191381115
144,4,10,1412.9013373851776,0.0005,6,10,0.5,25,central,-9.620641784406867,0.32478644248660443,
145,4,10,1412.9013373851776,0.0005,6,10,0.5,25,local,-1098.1592002803727,13.989118312208692,13.974279604133468
146,4,10,1412.9013373851776,0.0005,6,10,0.5,25,fl,-26.39133002385673,12.574766119305732,12.566460071232736
168,4,10,1405.1346399784088,0.0005,6,10,1.0,25,central,-9.620641784406867,0.32478644248660443,
169,4,10,1405.1346399784088,0.0005,6,10,1.0,25,local,-1098.1592002803727,13.989118312208692,13.974279604133468
170,4,10,1405.1346399784088,0.0005,6,10,1.0,25,fl,-25.063656209727643,12.501747101797214,12.498136143684135
208,4,10,273.0316905975342,0.0005,6,10,0.0,10,central,-10.122424536955524,0.4227665610072931,
209,4,10,273.0316905975342,0.0005,6,10,0.0,10,local,-5596.907981625161,14.611164415173254,14.626254796321252
210,4,10,273.0316905975342,0.0005,6,10,0.0,10,fl,-4831.165856791889,14.501256209336258,14.507112027528626
228,9,10,96.47124648094177,0.0005,6,10,0.0,25,central,-9.477207279858403,0.26931784179074875,
229,9,10,96.47124648094177,0.0005,6,10,0.0,25,local,-955.6633953973696,13.48486789165305,13.477305720243328
230,9,10,96.47124648094177,0.0005,6,10,0.0,25,fl,-948.6845586709751,13.05302817532118,13.048774096890543
232,1,10,291.86083245277405,0.0005,6,10,0.0,50,central,-9.346665801994696,0.18095246029335765,
