,seed,D,runtime_sec,lr,K,n_clients,lambda,N,algorithm,Log-likelihood,err_true,err_central
12,0,10,1262.1100327968597,0.0005,3,10,1.0,50,central,-15.329813612129644,0.20884786279053225,
13,0,10,1262.1100327968597,0.0005,3,10,1.0,50,local,-16.187366530232644,0.7165309002708568,0.6897590564465977
14,0,10,1262.1100327968597,0.0005,3,10,1.0,50,fl,-15.647124957646005,0.4966833705641439,0.45598782301184404
16,8,10,837.1772825717926,0.0005,3,10,1.0,25,central,-15.421485694092473,0.28460230669296044,
17,8,10,837.1772825717926,0.0005,3,10,1.0,25,local,-17.776160738763814,1.0884653417409114,1.0543674086828774
18,8,10,837.1772825717926,0.0005,3,10,1.0,25,fl,-15.990908119663931,0.7286926142503757,0.6815768629672236
24,8,10,269.3772089481354,0.0005,3,10,0.0,10,central,-15.584658362419578,0.5159542096665645,
25,8,10,269.3772089481354,0.0005,3,10,0.0,10,local,-42.05256518234809,1.5602128012855927,1.4845017493450439
26,8,10,269.3772089481354,0.0005,3,10,0.0,10,fl,-42.174230093469134,1.5625619230045689,1.487157603473777
36,5,10,259.32584595680237,0.0005,3,10,0.0,25,central,-15.453900507411168,0.2841539761509268,
37,5,10,259.32584595680237,0.0005,3,10,0.0,25,local,-17.649317246195483,0.9776026382379692,0.9283174124579727
38,5,10,259.32584595680237,0.0005,3,10,0.0,25,fl,-17.652123776197854,0.9768087856765921,0.9273442653268658
56,5,10,1408.3098449707031,0.0005,3,10,1.0,10,central,-15.674454647783529,0.6661322748630489,
57,5,10,1408.3098449707031,0.0005,3,10,1.0,10,local,-52.19459160245317,1.7128970007153455,1.5786353089577214
58,5,10,1408.3098449707031,0.0005,3,10,1.0,10,fl,-17.554623829729167,1.2247048650027326,1.0244157995544108
60,9,10,1310.7155947685242,0.0005,3,10,0.5,10,central,-15.635660134904148,0.4800018836378653,
61,9,10,1310.7155947685242,0.0005,3,10,0.5,10,local,-49.05197600513047,1.7110335397344891,1.635218863258806
62,9,10,1310.7155947685242,0.0005,3,10,0.5,10,fl,-18.713027653639553,1.3722851253117023,1.278553296073398
68,3,10,1137.8091099262238,0.0005,3,10,1.0,100,central,-15.286939226692045,0.17245881072235195,
69,3,10,1137.8091099262238,0.0005,3,10,1.0,100,local,-15.628563994773355,0.5421677554974277,0.5170672493348017
