,seed,D,runtime_sec,lr,K,n_clients,lambda,N,alpha,algorithm,Log-likelihood,err_true,err_central
8,4,10,1451.1242299079895,0.0005,3,10,1,100,0.2,central,-15.267158507384172,0.1897912154422231,
9,4,10,1451.1242299079895,0.0005,3,10,1,100,0.2,local,-16.31755841768707,8.021281947392328,8.005798703733138
10,4,10,1451.1242299079895,0.0005,3,10,1,100,0.2,fl,-15.757984942063464,5.481103231291973,5.4550361442227695
24,5,10,1363.9480333328247,0.0005,3,10,1,10,1.0,central,-15.657411628061528,0.6354390891464492,
25,5,10,1363.9480333328247,0.0005,3,10,1,10,1.0,local,-85.97536819017009,5.012581202660771,4.890973982912559
26,5,10,1363.9480333328247,0.0005,3,10,1,10,1.0,fl,-22.810360256739862,5.4917685759466455,5.354860476118286
28,4,10,1627.3921763896942,0.0005,3,10,1,50,0.2,central,-15.270136627681572,0.26949296109114146,
29,4,10,1627.3921763896942,0.0005,3,10,1,50,0.2,local,-20.050087675110895,9.248651628525973,9.215404649068635
30,4,10,1627.3921763896942,0.0005,3,10,1,50,0.2,fl,-17.342457296856434,6.448545034800645,6.405361625811631
36,3,10,1477.9575355052948,0.0005,3,10,1,50,1.0,central,-15.266157092623242,0.33249794637486846,
37,3,10,1477.9575355052948,0.0005,3,10,1,50,1.0,local,-17.536273436317614,2.171910008552988,2.0993727239782176
38,3,10,1477.9575355052948,0.0005,3,10,1,50,1.0,fl,-16.717983225053004,2.3100388550539797,2.2331659058964597
40,2,10,1223.9205467700958,0.0005,3,10,1,10,0.2,central,-15.640929132037439,0.668290242126868,
41,2,10,1223.9205467700958,0.0005,3,10,1,10,0.2,local,-38.48998237959904,9.780126974206555,9.73367302304166
42,2,10,1223.9205467700958,0.0005,3,10,1,10,0.2,fl,-20.282780375264103,8.780591251196729,8.78552462165328
48,9,10,1198.818990945816,0.0005,3,10,1,10,10.0,central,-15.472086783264746,0.4836989079863163,
49,9,10,1198.818990945816,0.0005,3,10,1,10,10.0,local,-69.50782310116924,1.7054753084386587,1.6340347074329196
50,9,10,1198.818990945816,0.0005,3,10,1,10,10.0,fl,-18.395626597932953,1.6357016043753458,1.5417075458424117
64,0,10,1268.9201030731201,0.0005,3,10,1,25,10.0,central,-15.255272763722427,0.4295525114762917,
65,0,10,1268.9201030731201,0.0005,3,10,1,25,10.0,local,-18.278999729910467,1.1440791601901863,1.054987736453199
66,0,10,1268.9201030731201,0.0005,3,10,1,25,10.0,fl,-15.857179233528573,0.7916711606270567,0.6605296302658143
72,3,10,1401.5740976333618,0.0005,3,10,1,100,1.0,central,-15.218600101246045,0.25401133452492547,
73,3,10,1401.5740976333618,0.0005,3,10,1,100,1.0,local,-15.635506835333988,2.483784693099536,2.4502183672250086
74,3,10,1401.5740976333618,0.0005,3,10,1,100,1.0,fl,-15.741295410852729,1.4266709751275575,1.3894764742709214
80,1,10,1373.2981989383698,0.0005,3,10,1,100,10.0,central,-15.288126735670645,0.2311445323869351,
81,1,10,1373.2981989383698,0.0005,3,10,1,100,10.0,local,-15.613312216890156,0.55295381242748,0.497218768026095
82,1,10,1373.2981989383698,0.0005,3,10,1,100,10.0,fl,-15.417833198043747,0.4058194886229735,0.33195072267782083
92,8,10,1379.2059586048126,0.0005,3,10,1,100,0.2,central,-15.362789188430536,0.1830366678766838,
93,8,10,1379.2059586048126,0.0005,3,10,1,100,0.2,local,-16.025380254792758,9.007663295336261,8.988032686045262
94,8,10,1379.2059586048126,0.0005,3,10,1,100,0.2,fl,-15.27629667448303,6.871034888754325,6.838279607413186
112,7,10,1346.9507732391357,0.0005,3,10,1,25,1.0,central,-15.260337251066312,0.32870360957049316,
113,7,10,1346.9507732391357,0.0005,3,10,1,25,1.0,local,-27.87173656180005,3.3102317396874112,3.264050249331048
114,7,10,1346.9507732391357,0.0005,3,10,1,25,1.0,fl,-18.867916738132017,4.119541060035977,4.073822797329518
116,8,10,1461.790500164032,0.0005,3,10,1,50,0.2,central,-15.394095733822315,0.25409390020948086,
117,8,10,1461.790500164032,0.0005,3,10,1,50,0.2,local,-19.962222395630402,10.305935410986566,10.268681387854121
118,8,10,1461.790500164032,0.0005,3,10,1,50,0.2,fl,-16.429804625400692,7.665412782431799,7.637648742436532
120,9,10,1360.2287533283234,0.0005,3,10,1,10,1.0,central,-15.62649720063754,0.5876535757106689,
121,9,10,1360.2287533283234,0.0005,3,10,1,10,1.0,local,-95.6058271467314,4.953606502120445,4.855570550594935
122,9,10,1360.2287533283234,0.0005,3,10,1,10,1.0,fl,-22.499988677424216,4.724780998770343,4.706069529387785
128,0,10,1314.528104543686,0.0005,3,10,1,25,0.2,central,-15.284917184647275,0.4123700592418668,
129,0,10,1314.528104543686,0.0005,3,10,1,25,0.2,local,-22.01169806134669,7.011127162239373,7.010436171003572
130,0,10,1314.528104543686,0.0005,3,10,1,25,0.2,fl,-16.856156167462473,6.35318550997828,6.378500946807112
