,n_clients,D,seed,N,alpha,lambda,lr,K,runtime_sec,algorithm,Log-likelihood,NMI,AMI
0,10,10,4,100,0.2,1,0.0005,10,2397.3022396564484,central,15.816703987121581,0.7611329388768533,0.760695562483267
1,10,10,4,100,0.2,1,0.0005,10,2397.3022396564484,local,-693.9795143127442,0.48646618249071627,0.48549244471777897
2,10,10,4,100,0.2,1,0.0005,10,2397.3022396564484,fl,5.564998400211334,0.5606792366223645,0.5598883910201655
24,10,10,4,50,0.2,1,0.0005,10,2239.9629452228546,central,14.902932357788085,0.76413074412133,0.7636976976809184
25,10,10,4,50,0.2,1,0.0005,10,2239.9629452228546,local,-11999.907385253906,0.4316823143795501,0.4304997108030559
26,10,10,4,50,0.2,1,0.0005,10,2239.9629452228546,fl,2.6882237285375594,0.35503794648155107,0.3534824771476364
40,10,10,9,300,0.2,1,0.0005,10,857.7935221195221,central,16.064573097229005,0.7372507521196532,0.7367824730747665
41,10,10,9,300,0.2,1,0.0005,10,857.7935221195221,local,-50.206858253479005,0.6156590490574394,0.6149316007454109
42,10,10,9,300,0.2,1,0.0005,10,857.7935221195221,fl,-0.11241472121328115,0.6584260979766012,0.6578988741424425
48,10,10,0,200,10.0,1,0.0005,10,2523.2711503505707,central,16.414707946777344,0.7474501903248746,0.7469985021913103
49,10,10,0,200,10.0,1,0.0005,10,2523.2711503505707,local,1.740121340751648,0.7240411877799323,0.723543972737471
50,10,10,0,200,10.0,1,0.0005,10,2523.2711503505707,fl,-8.746617317199707,0.7400644066927825,0.7396328158994417
60,10,10,3,50,1.0,1,0.0005,10,2234.55566906929,central,14.421371936798096,0.7672060265450712,0.7667890531536504
61,10,10,3,50,1.0,1,0.0005,10,2234.55566906929,local,-7537.585583496094,0.5074402040589485,0.5064141100259949
62,10,10,3,50,1.0,1,0.0005,10,2234.55566906929,fl,-1.7253383263945579,0.4625633852269826,0.46137281459218843
96,10,10,3,100,1.0,1,0.0005,10,2412.5948297977448,central,15.274544715881348,0.7585739972392713,0.7581415450299648
97,10,10,3,100,1.0,1,0.0005,10,2412.5948297977448,local,-275.9669464111328,0.606645504128236,0.605906360857327
98,10,10,3,100,1.0,1,0.0005,10,2412.5948297977448,fl,-8.841608023643493,0.6858061397568912,0.6852430576938492
108,10,10,1,100,10.0,1,0.0005,10,2657.1814155578613,central,15.115548896789551,0.7108519002624422,0.7103339429056137
109,10,10,1,100,10.0,1,0.0005,10,2657.1814155578613,local,-212.78474044799805,0.6910673495470451,0.6904913766303052
110,10,10,1,100,10.0,1,0.0005,10,2657.1814155578613,fl,-13.679719734191895,0.7228841308347576,0.7224390367710496
124,10,10,6,200,1.0,1,0.0005,10,937.0888812541962,central,15.903285789489747,0.7603893352539348,0.7599600638487561
125,10,10,6,200,1.0,1,0.0005,10,937.0888812541962,local,-31.42347123622894,0.7093534225496072,0.7088174108285494
126,10,10,6,200,1.0,1,0.0005,10,937.0888812541962,fl,-8.635686194896698,0.7206237632355368,0.7201885715418305
128,10,10,8,100,0.2,1,0.0005,10,2285.6831760406494,central,15.067408657073974,0.7493456879887052,0.7488929674576968
129,10,10,8,100,0.2,1,0.0005,10,2285.6831760406494,local,-1540.5407180786133,0.5058006180925594,0.5048164696964431
130,10,10,8,100,0.2,1,0.0005,10,2285.6831760406494,fl,3.451504445075989,0.5657117220593323,0.5649416474373565
144,10,10,7,300,10.0,1,0.0005,10,2253.6458864212036,central,16.378585529327392,0.7737441608166178,0.7733429355151773
145,10,10,7,300,10.0,1,0.0005,10,2253.6458864212036,local,11.155542087554931,0.7495497499590167,0.7491023537659748
146,10,10,7,300,10.0,1,0.0005,10,2253.6458864212036,fl,-7.474039876461029,0.7646093126271699,0.7642114133401611
156,10,10,5,300,0.2,1,0.0005,10,1480.3954813480377,central,15.488664627075195,0.8038512102850595,0.8035003450562384
157,10,10,5,300,0.2,1,0.0005,10,1480.3954813480377,local,-93.83716368675232,0.5602592985233947,0.5594095695321314
158,10,10,5,300,0.2,1,0.0005,10,1480.3954813480377,fl,-0.14489129930734634,0.6293915100900336,0.6288430911818834
164,10,10,8,50,0.2,1,0.0005,10,2330.4840788841248,central,14.142501735687256,0.756444057387434,0.7560042057799422
165,10,10,8,50,0.2,1,0.0005,10,2330.4840788841248,local,-10978.822900390625,0.45089884246537293,0.44982213279470856
166,10,10,8,50,0.2,1,0.0005,10,2330.4840788841248,fl,0.19144651293754578,0.3954923677540082,0.39414725555020635
180,10,10,3,50,10.0,1,0.0005,10,2388.082843065262,central,15.022991180419922,0.7692815288774889,0.7688688955170208
181,10,10,3,50,10.0,1,0.0005,10,2388.082843065262,local,-9768.935986328124,0.5667843462381806,0.5659161652656581
182,10,10,3,50,10.0,1,0.0005,10,2388.082843065262,fl,-8.029155111312866,0.5325877856846389,0.5316013686494092
184,10,10,2,300,1.0,1,0.0005,10,871.8872103691101,central,16.102836227416994,0.7559197296588939,0.7554860224622174
185,10,10,2,300,1.0,1,0.0005,10,871.8872103691101,local,-3.7477797150611876,0.6935585039432374,0.6929972802480716
186,10,10,2,300,1.0,1,0.0005,10,871.8872103691101,fl,-5.0408277153968815,0.7389767207530471,0.7385534880296234
232,10,10,1,200,0.2,1,0.0005,10,2755.8584887981415,central,16.455130767822265,0.7901168876793528,0.78973693572175
233,10,10,1,200,0.2,1,0.0005,10,2755.8584887981415,local,-266.1564510345459,0.561375130690229,0.5605289467485388
234,10,10,1,200,0.2,1,0.0005,10,2755.8584887981415,fl,1.852477765083313,0.6592700467896464,0.6587372999373986
236,10,10,0,200,0.2,1,0.0005,10,895.3032901287079,central,16.297997283935548,0.7299375379729633,0.7294545675573125
237,10,10,0,200,0.2,1,0.0005,10,895.3032901287079,local,-158.71883544921874,0.5764866704998818,0.5756774942804683
238,10,10,0,200,0.2,1,0.0005,10,895.3032901287079,fl,-0.8427469849586486,0.6377305178948213,0.6372339221978544
276,10,10,2,50,10.0,1,0.0005,10,2481.7145404815674,central,14.208207893371583,0.7643062798924531,0.7638814686395895
277,10,10,2,50,10.0,1,0.0005,10,2481.7145404815674,local,-10036.049926757812,0.6171937262045046,0.6164334578339767
278,10,10,2,50,10.0,1,0.0005,10,2481.7145404815674,fl,-19.16243245601654,0.5582479709860533,0.5573423580955411
280,10,10,3,300,1.0,1,0.0005,10,1414.2918727397919,central,16.48384609222412,0.7714801849084897,0.7710704947989698
281,10,10,3,300,1.0,1,0.0005,10,1414.2918727397919,local,8.167231607437134,0.6972330207699411,0.6966806489569616
282,10,10,3,300,1.0,1,0.0005,10,1414.2918727397919,fl,-7.364749073982239,0.7336196296576676,0.7332069566540074
304,10,10,9,50,0.2,1,0.0005,10,2478.8281404972076,central,12.448712968826294,0.7387569757617204,0.7382881269831096
305,10,10,9,50,0.2,1,0.0005,10,2478.8281404972076,local,-8055.993334960937,0.4337871927771723,0.4325754524728265
306,10,10,9,50,0.2,1,0.0005,10,2478.8281404972076,fl,-4.14193764925003,0.40945838256642075,0.40812474658329834
316,10,10,6,300,10.0,1,0.0005,10,2449.751146554947,central,15.699450588226318,0.7690981129554475,0.7686886040485856
317,10,10,6,300,10.0,1,0.0005,10,2449.751146554947,local,10.135791540145874,0.7507263964482239,0.7502775152868311
318,10,10,6,300,10.0,1,0.0005,10,2449.751146554947,fl,-12.978251504898072,0.7596304582759674,0.7592286109234571
328,10,10,4,300,0.2,1,0.0005,10,1481.7829194068909,central,16.245993423461915,0.7619302889294586,0.7614999827694748
329,10,10,4,300,0.2,1,0.0005,10,1481.7829194068909,local,-23.569710171222688,0.6155100606675783,0.614795489624073
330,10,10,4,300,0.2,1,0.0005,10,1481.7829194068909,fl,-3.6822667509317397,0.6976181062362917,0.6971951221962946
332,10,10,7,200,1.0,1,0.0005,10,786.8827669620514,central,16.188102340698244,0.7721950318906775,0.7717872708964724
333,10,10,7,200,1.0,1,0.0005,10,786.8827669620514,local,-24.03901347219944,0.6811162116353354,0.6805271380742427
334,10,10,7,200,1.0,1,0.0005,10,786.8827669620514,fl,-6.229750096797943,0.7243979730066111,0.7239654774267061
336,10,10,9,100,0.2,1,0.0005,10,2425.2348046302795,central,14.754925537109376,0.7406478896052789,0.7401834292010242
337,10,10,9,100,0.2,1,0.0005,10,2425.2348046302795,local,-705.6133666992188,0.5200588168475491,0.519152851010652
338,10,10,9,100,0.2,1,0.0005,10,2425.2348046302795,fl,-0.03221772909164429,0.5973303014982069,0.5966542417718247
368,10,10,0,100,10.0,1,0.0005,10,3066.07351231575,central,15.780431270599365,0.7244448737766556,0.723950878016907
369,10,10,0,100,10.0,1,0.0005,10,3066.07351231575,local,-388.809493637085,0.6737973210588918,0.6731916176749763
370,10,10,0,100,10.0,1,0.0005,10,3066.07351231575,fl,-11.5278950214386,0.7105343322124466,0.7100432472445972
376,10,10,2,100,1.0,1,0.0005,10,2503.3897552490234,central,15.123229217529296,0.7352898051882016,0.7348143756832202
377,10,10,2,100,1.0,1,0.0005,10,2503.3897552490234,local,-702.7221649169921,0.6106678709669153,0.6099221353725433
378,10,10,2,100,1.0,1,0.0005,10,2503.3897552490234,fl,-6.930305987596512,0.6779871056478017,0.6774044941672515
408,10,10,2,50,1.0,1,0.0005,10,2571.8080077171326,central,13.759870052337646,0.7198652651892627,0.7193476574902709
409,10,10,2,50,1.0,1,0.0005,10,2571.8080077171326,local,-9422.0830078125,0.5077100391812582,0.5067702981209661
410,10,10,2,50,1.0,1,0.0005,10,2571.8080077171326,fl,-6.8589391395449635,0.43901630882345677,0.437807462540838
420,10,10,1,200,10.0,1,0.0005,10,2465.880334854126,central,15.817310237884522,0.7078811094901524,0.7073503667111194
421,10,10,1,200,10.0,1,0.0005,10,2465.880334854126,local,0.4270396947860718,0.7156779438840216,0.7151638059982244
422,10,10,1,200,10.0,1,0.0005,10,2465.880334854126,fl,-8.046136903762818,0.7430339513030345,0.7426249435479501
440,10,10,8,300,0.2,1,0.0005,10,1493.9776256084442,central,15.497045421600342,0.7237795719244315,0.723277140596565
441,10,10,8,300,0.2,1,0.0005,10,1493.9776256084442,local,-59.489967572689054,0.5969290133907587,0.5961604865163446
442,10,10,8,300,0.2,1,0.0005,10,1493.9776256084442,fl,-2.6192840143106877,0.6571965524745645,0.6566796024861269
448,10,10,5,50,0.2,1,0.0005,10,2289.2182190418243,central,14.943072509765624,0.800288910460645,0.7999321758488057
449,10,10,5,50,0.2,1,0.0005,10,2289.2182190418243,local,-10715.495068359374,0.41514817073451676,0.4140082445149534
450,10,10,5,50,0.2,1,0.0005,10,2289.2182190418243,fl,2.249577647447586,0.38947407336181006,0.38811842956771836
460,10,10,5,100,0.2,1,0.0005,10,2435.773743867874,central,15.753526306152343,0.7939542425176869,0.7935859351006758
461,10,10,5,100,0.2,1,0.0005,10,2435.773743867874,local,-897.9482421875,0.4917902400695266,0.4908279490317593
462,10,10,5,100,0.2,1,0.0005,10,2435.773743867874,fl,1.3816765010356904,0.5459412130550205,0.5450837218861201
484,10,10,0,200,1.0,1,0.0005,10,2490.6238236427307,central,16.225771331787108,0.751490949860141,0.751046058808096
485,10,10,0,200,1.0,1,0.0005,10,2490.6238236427307,local,-36.852807599306104,0.6911072402871609,0.6905405738889818
486,10,10,0,200,1.0,1,0.0005,10,2490.6238236427307,fl,-6.414398193359375,0.7219623048448455,0.7215503965726411
492,10,10,1,300,10.0,1,0.0005,10,1610.3474564552307,central,16.41921548843384,0.7531872688829816,0.7527450827244587
493,10,10,1,300,10.0,1,0.0005,10,1610.3474564552307,local,11.236666774749756,0.7248370555512738,0.7243416495615922
494,10,10,1,300,10.0,1,0.0005,10,1610.3474564552307,fl,-6.108468687534332,0.7249530231355947,0.7244957778013298
504,10,10,3,300,0.2,1,0.0005,10,1435.1090903282166,central,15.928198623657227,0.7553208664877604,0.7548803736819207
505,10,10,3,300,0.2,1,0.0005,10,1435.1090903282166,local,-54.15035221576691,0.5912048966466762,0.5904234324436343
506,10,10,3,300,0.2,1,0.0005,10,1435.1090903282166,fl,-0.01656683683395386,0.6631569749129738,0.6626429990377712
532,10,10,4,300,1.0,1,0.0005,10,1425.1895487308502,central,15.877192401885987,0.7794376580570522,0.7790468935691031
533,10,10,4,300,1.0,1,0.0005,10,1425.1895487308502,local,-1.8928443908691406,0.7242506129308406,0.7237506988602911
534,10,10,4,300,1.0,1,0.0005,10,1425.1895487308502,fl,-9.235219597816467,0.7438237114871766,0.74339942840228
536,10,10,5,50,10.0,1,0.0005,10,2364.3696477413177,central,14.372584629058839,0.779929853673104,0.7795348347959528
537,10,10,5,50,10.0,1,0.0005,10,2364.3696477413177,local,-9968.820385742187,0.5814987266661975,0.5806419713227415
538,10,10,5,50,10.0,1,0.0005,10,2364.3696477413177,fl,-17.0865048289299,0.5314108145255771,0.5303932576543238
548,10,10,9,50,1.0,1,0.0005,10,2360.735541343689,central,13.901640224456788,0.7556603424069313,0.7552252068434524
549,10,10,9,50,1.0,1,0.0005,10,2360.735541343689,local,-15603.668579101562,0.5145322246686401,0.513587409331164
550,10,10,9,50,1.0,1,0.0005,10,2360.735541343689,fl,-3.149784512259066,0.4434234449728665,0.44218253282862696
588,10,10,7,200,0.2,1,0.0005,10,2182.4157841205597,central,16.41115846633911,0.7761257018773675,0.7757222119238806
589,10,10,7,200,0.2,1,0.0005,10,2182.4157841205597,local,-164.43579196929932,0.5692668400499421,0.5684163713925184
590,10,10,7,200,0.2,1,0.0005,10,2182.4157841205597,fl,4.278299224376679,0.6326615882676978,0.6321398842018573
592,10,10,9,100,1.0,1,0.0005,10,2567.334841966629,central,14.807707977294921,0.7513660560285679,0.750921102470942
593,10,10,9,100,1.0,1,0.0005,10,2567.334841966629,local,-672.0402603149414,0.6103813589654308,0.6096207358454773
594,10,10,9,100,1.0,1,0.0005,10,2567.334841966629,fl,-2.3541905254125597,0.6475057823190726,0.6468688410997826
596,10,10,2,100,0.2,1,0.0005,10,2481.1579167842865,central,15.447999382019043,0.7452331530136778,0.744777313255964
597,10,10,2,100,0.2,1,0.0005,10,2481.1579167842865,local,-1378.8250701904296,0.46706564442448284,0.4660322669524721
598,10,10,2,100,0.2,1,0.0005,10,2481.1579167842865,fl,4.583604407310486,0.5349360936539238,0.5340853241601102
616,10,10,2,50,0.2,1,0.0005,10,2434.8189840316772,central,13.827135848999024,0.7407341533841849,0.7402651638509754
617,10,10,2,50,0.2,1,0.0005,10,2434.8189840316772,local,-12020.431225585937,0.39624430265350097,0.3950258235662534
618,10,10,2,50,0.2,1,0.0005,10,2434.8189840316772,fl,-5.881596666574478,0.38508663669554355,0.3837496605606439
628,10,10,6,200,10.0,1,0.0005,10,2419.2130122184753,central,15.276372623443603,0.7417645278436755,0.741302827507843
629,10,10,6,200,10.0,1,0.0005,10,2419.2130122184753,local,-0.062430286407470705,0.7267541005570235,0.7262628791118527
630,10,10,6,200,10.0,1,0.0005,10,2419.2130122184753,fl,-9.761508822441101,0.7464218772490456,0.7460013564926143
648,10,10,5,50,1.0,1,0.0005,10,2322.749079465866,central,15.058955001831055,0.7456160335198277,0.745155842198306
649,10,10,5,50,1.0,1,0.0005,10,2322.749079465866,local,-12427.9361328125,0.5121752149787963,0.5111838160465585
650,10,10,5,50,1.0,1,0.0005,10,2322.749079465866,fl,-11.58081920146942,0.47013482092510905,0.468949565192319
652,10,10,9,50,10.0,1,0.0005,10,2423.600707769394,central,13.051845264434814,0.753440508273055,0.7529996797509976
653,10,10,9,50,10.0,1,0.0005,10,2423.600707769394,local,-9353.881518554688,0.5946760920856788,0.593858747332509
654,10,10,9,50,10.0,1,0.0005,10,2423.600707769394,fl,-19.113652205467226,0.5606393630399642,0.5596946684282122
656,10,10,8,300,1.0,1,0.0005,10,1506.4276430606842,central,15.712411403656006,0.7421541961711043,0.7416917508289703
657,10,10,8,300,1.0,1,0.0005,10,1506.4276430606842,local,6.383400988578797,0.716803707798484,0.7162916626488829
658,10,10,8,300,1.0,1,0.0005,10,1506.4276430606842,fl,-6.507651348412037,0.7374967764920338,0.7370873691516292
684,10,10,5,100,1.0,1,0.0005,10,2331.6826424598694,central,15.679247665405274,0.802110684448428,0.8017549279502466
685,10,10,5,100,1.0,1,0.0005,10,2331.6826424598694,local,-632.1216262817383,0.6073629901328846,0.6066329611313147
686,10,10,5,100,1.0,1,0.0005,10,2331.6826424598694,fl,-13.125227570533752,0.6920302631018528,0.6915075941039597
696,10,10,7,100,10.0,1,0.0005,10,797.2391171455383,central,15.712861347198487,0.7301549314637333,0.7296747550434992
697,10,10,7,100,10.0,1,0.0005,10,797.2391171455383,local,-197.958992767334,0.7038442382616712,0.7032919415318237
698,10,10,7,100,10.0,1,0.0005,10,797.2391171455383,fl,-17.7318208694458,0.7349701150156347,0.7345109127548757
708,10,10,6,100,10.0,1,0.0005,10,951.3158910274506,central,15.279728889465332,0.7649600515303193,0.7645430022420204
709,10,10,6,100,10.0,1,0.0005,10,951.3158910274506,local,-260.6509956359863,0.6861160768816631,0.6855313426184904
710,10,10,6,100,10.0,1,0.0005,10,951.3158910274506,fl,-10.422253441810607,0.7262199335351204,0.7257643153464767
716,10,10,4,100,1.0,1,0.0005,10,2354.035670042038,central,15.42034969329834,0.7492487094763473,0.7487997498186699
717,10,10,4,100,1.0,1,0.0005,10,2354.035670042038,local,-621.0298538208008,0.6026164774237657,0.6018844182381564
718,10,10,4,100,1.0,1,0.0005,10,2354.035670042038,fl,-10.455505895614625,0.6776727894998495,0.677115877816748
732,10,10,8,50,10.0,1,0.0005,10,2365.788586139679,central,13.784675121307373,0.7630324787575082,0.7626058060038108
733,10,10,8,50,10.0,1,0.0005,10,2365.788586139679,local,-9773.626196289062,0.6175461009483956,0.616810924871803
734,10,10,8,50,10.0,1,0.0005,10,2365.788586139679,fl,-15.475939688831568,0.5904093458066062,0.5896003961900067
736,10,10,9,300,1.0,1,0.0005,10,2331.6452770233154,central,15.266166877746581,0.7498367626904365,0.7493887530423381
737,10,10,9,300,1.0,1,0.0005,10,2331.6452770233154,local,-20.546324300765992,0.6951453157505791,0.6945865154321526
738,10,10,9,300,1.0,1,0.0005,10,2331.6452770233154,fl,-6.053747319430113,0.7210881833438096,0.7206517609624473
748,10,10,4,50,1.0,1,0.0005,10,2199.780745744705,central,13.983987712860108,0.7277527509839794,0.7272684522410501
749,10,10,4,50,1.0,1,0.0005,10,2199.780745744705,local,-13173.38701171875,0.49372167954970403,0.49262898029745444
750,10,10,4,50,1.0,1,0.0005,10,2199.780745744705,fl,-4.951390665769577,0.4287729672055698,0.4274312951460183
764,10,10,7,200,10.0,1,0.0005,10,1370.7724270820618,central,16.133521270751952,0.7892073849842786,0.7888332681256081
765,10,10,7,200,10.0,1,0.0005,10,1370.7724270820618,local,2.043387997150421,0.7324646995829407,0.7319814295567681
766,10,10,7,200,10.0,1,0.0005,10,1370.7724270820618,fl,-11.786393451690675,0.7641485991508705,0.7637568766195353
780,10,10,3,50,0.2,1,0.0005,10,2302.5792026519775,central,13.930948734283447,0.7553825933065802,0.7549426968983695
781,10,10,3,50,0.2,1,0.0005,10,2302.5792026519775,local,-11453.371417236329,0.40386007072149804,0.40268552103598737
782,10,10,3,50,0.2,1,0.0005,10,2302.5792026519775,fl,0.1809619650244713,0.43412212481523743,0.43292767820689876
792,10,10,3,100,0.2,1,0.0005,10,2217.1579575538635,central,15.494283390045165,0.7729242910736941,0.7725164419834843
793,10,10,3,100,0.2,1,0.0005,10,2217.1579575538635,local,-1283.210626220703,0.5130749755056362,0.5121472488201847
794,10,10,3,100,0.2,1,0.0005,10,2217.1579575538635,fl,4.1575744390487674,0.5437273643484265,0.5429047383497007
808,10,10,6,200,0.2,1,0.0005,10,2620.0255749225616,central,15.943896007537841,0.7692819625176538,0.7688617287521685
809,10,10,6,200,0.2,1,0.0005,10,2620.0255749225616,local,-504.73769493103026,0.546560943569365,0.5456739603455832
810,10,10,6,200,0.2,1,0.0005,10,2620.0255749225616,fl,-0.6059150317683816,0.6300956632560024,0.6294705495745604
812,10,10,8,100,1.0,1,0.0005,10,2524.340641975403,central,15.125861835479736,0.7547886402653652,0.7543499882508433
813,10,10,8,100,1.0,1,0.0005,10,2524.340641975403,local,-915.1909133911133,0.621243112470569,0.6205074160187392
814,10,10,8,100,1.0,1,0.0005,10,2524.340641975403,fl,-5.601366059482098,0.7029755733674622,0.7024526572066749
840,10,10,8,50,1.0,1,0.0005,10,2398.4795842170715,central,14.021527099609376,0.745448012308743,0.7449933252580717
841,10,10,8,50,1.0,1,0.0005,10,2398.4795842170715,local,-10328.922485351562,0.5296264172398418,0.5287091520303017
842,10,10,8,50,1.0,1,0.0005,10,2398.4795842170715,fl,-3.750129771232605,0.4561676104766438,0.45495541850251026
852,10,10,5,300,1.0,1,0.0005,10,833.5470864772797,central,15.694717502593994,0.7837789502914402,0.7833910060372031
853,10,10,5,300,1.0,1,0.0005,10,833.5470864772797,local,-6.37142653465271,0.6989978309080951,0.6984428362613652
854,10,10,5,300,1.0,1,0.0005,10,833.5470864772797,fl,-5.088948583602905,0.7416575780730714,0.741254493295186
856,10,10,4,50,10.0,1,0.0005,10,2385.3567547798157,central,14.019942378997802,0.7630025072529352,0.7625809095287761
857,10,10,4,50,10.0,1,0.0005,10,2385.3567547798157,local,-7495.456640625,0.5285856688100605,0.52761951352416
858,10,10,4,50,10.0,1,0.0005,10,2385.3567547798157,fl,-15.48160582780838,0.5618666183063601,0.5609757206149963
896,10,10,0,300,10.0,1,0.0005,10,927.100442647934,central,16.536892032623292,0.7589044466583881,0.7584723698796388
897,10,10,0,300,10.0,1,0.0005,10,927.100442647934,local,12.01393175125122,0.7375590968024154,0.7370875131637974
898,10,10,0,300,10.0,1,0.0005,10,927.100442647934,fl,-9.73407278060913,0.7467516844474875,0.7463298324560994
908,10,10,2,300,0.2,1,0.0005,10,1517.1632568836212,central,16.34314594268799,0.7669886866640224,0.7665724750102468
909,10,10,2,300,0.2,1,0.0005,10,1517.1632568836212,local,-59.57600396871567,0.5939215609490163,0.5931545029045393
910,10,10,2,300,0.2,1,0.0005,10,1517.1632568836212,fl,0.4897568106651306,0.6828236663095757,0.682325804720762
912,10,10,1,200,1.0,1,0.0005,10,1562.060097694397,central,15.98317747116089,0.7488228894658219,0.7483752509596184
913,10,10,1,200,1.0,1,0.0005,10,1562.060097694397,local,-15.894843363761902,0.6728203779302994,0.6722195476566869
914,10,10,1,200,1.0,1,0.0005,10,1562.060097694397,fl,-6.705216479301453,0.7076327151178357,0.7071791897226264
928,10,10,5,200,0.2,1,0.0005,10,2406.9691195487976,central,15.882838726043701,0.778554757330532,0.7781564108495502
929,10,10,5,200,0.2,1,0.0005,10,2406.9691195487976,local,-112.46968441009521,0.5350442659674208,0.5341471811103627
930,10,10,5,200,0.2,1,0.0005,10,2406.9691195487976,fl,-4.117389678955078,0.6521366642913397,0.6516048612363717
932,10,10,9,100,10.0,1,0.0005,10,943.8217282295227,central,15.797399139404297,0.763504851358707,0.7630806034444784
933,10,10,9,100,10.0,1,0.0005,10,943.8217282295227,local,-196.80221252441407,0.6818366040521682,0.6812370225518803
934,10,10,9,100,10.0,1,0.0005,10,943.8217282295227,fl,-11.730116033554078,0.7210661751274701,0.7205754595761202
988,10,10,7,50,10.0,1,0.0005,10,2193.775789499283,central,14.655768299102784,0.7565382286136163,0.7561025942973738
989,10,10,7,50,10.0,1,0.0005,10,2193.775789499283,local,-9185.756713867188,0.5799819360740064,0.5791457172312205
990,10,10,7,50,10.0,1,0.0005,10,2193.775789499283,fl,-14.101808294653893,0.5283898932592697,0.5273853469449409
992,10,10,6,300,1.0,1,0.0005,10,1553.9244401454926,central,15.916084098815919,0.7607953643990465,0.7603705842909738
993,10,10,6,300,1.0,1,0.0005,10,1553.9244401454926,local,-14.53846070766449,0.7039518430926794,0.7034114660329795
994,10,10,6,300,1.0,1,0.0005,10,1553.9244401454926,fl,-6.861809910833836,0.7411396047080094,0.740733281364639
996,10,10,8,200,10.0,1,0.0005,10,2351.4264676570892,central,15.76243085861206,0.76194076953721,0.7615140372609872
997,10,10,8,200,10.0,1,0.0005,10,2351.4264676570892,local,4.587555074691773,0.7392962442899967,0.7388247045453448
998,10,10,8,200,10.0,1,0.0005,10,2351.4264676570892,fl,-12.787113046646118,0.7595251039603356,0.7591307590769788
1016,10,10,1,300,0.2,1,0.0005,10,933.0844254493713,central,16.724614810943603,0.7842559899731048,0.7838645795768933
1017,10,10,1,300,0.2,1,0.0005,10,933.0844254493713,local,-103.52164999246597,0.6075667354987174,0.6068155864439209
1018,10,10,1,300,0.2,1,0.0005,10,933.0844254493713,fl,1.7853081226348877,0.6737180695923749,0.6732420818723053
1020,10,10,3,300,10.0,1,0.0005,10,2171.1255033016205,central,15.936983203887939,0.7754069120467533,0.7750077530644178
1021,10,10,3,300,10.0,1,0.0005,10,2171.1255033016205,local,11.320175409317017,0.7464774220899824,0.746021611352616
1022,10,10,3,300,10.0,1,0.0005,10,2171.1255033016205,fl,-8.736198215186596,0.7567719276171531,0.7563602332122333
1036,10,10,2,200,1.0,1,0.0005,10,1530.6559147834778,central,16.016294479370117,0.7669075932418353,0.7664936415016429
1037,10,10,2,200,1.0,1,0.0005,10,1530.6559147834778,local,-101.00726356506348,0.6714149947793255,0.6708128338229528
1038,10,10,2,200,1.0,1,0.0005,10,1530.6559147834778,fl,-6.204405057430267,0.7326036508287508,0.7321798364693708
1052,10,10,5,100,10.0,1,0.0005,10,929.9238746166229,central,15.043056678771972,0.7357228975855176,0.7352527818966017
