,seed,shift_scale,D,runtime_sec,lr,K,n_clients,lambda,N,algorithm,Log-likelihood,err_true,err_central
48,4,2.0,10,1227.0630278587341,0.0005,3,10,1.0,10,central,-22.782897993484237,1.7479942859879916,
49,4,2.0,10,1227.0630278587341,0.0005,3,10,1.0,10,local,-78.67421498341018,6.304977604703941,6.078790542526374
50,4,2.0,10,1227.0630278587341,0.0005,3,10,1.0,10,fl,-20.007416446347708,4.525268974000602,4.35408461469647
52,4,0.2,10,1340.1978838443756,0.0005,3,10,1.0,100,central,-15.459465745976695,0.26045110476602074,
53,4,0.2,10,1340.1978838443756,0.0005,3,10,1.0,100,local,-15.597845900655258,0.8432970845089148,0.8034985674244389
54,4,0.2,10,1340.1978838443756,0.0005,3,10,1.0,100,fl,-15.435971924099002,0.5934464888552416,0.5359108433216278
56,5,0.2,10,1484.346539258957,0.0005,3,10,1.0,50,central,-15.499824406658494,0.28760214930862493,
57,5,0.2,10,1484.346539258957,0.0005,3,10,1.0,50,local,-16.03975723672948,0.9215445656051495,0.8816993293292741
58,5,0.2,10,1484.346539258957,0.0005,3,10,1.0,50,fl,-15.617971129651796,0.6513592067119616,0.5837487133981473
68,6,1.0,10,1432.99076628685,0.0005,3,10,1.0,10,central,-18.4541226459451,1.0500272353243443,
69,6,1.0,10,1432.99076628685,0.0005,3,10,1.0,10,local,-38.157001954676225,3.5783347432099823,3.442935781249772
70,6,1.0,10,1432.99076628685,0.0005,3,10,1.0,10,fl,-16.829631007926817,2.40419247281519,2.1899879603191588
76,3,1.0,10,1258.4355356693268,0.0005,3,10,1.0,100,central,-18.55783577672314,0.9578698952178991,
77,3,1.0,10,1258.4355356693268,0.0005,3,10,1.0,100,local,-15.603881089863865,3.214822915578586,3.071512097313477
78,3,1.0,10,1258.4355356693268,0.0005,3,10,1.0,100,fl,-16.096333482718883,2.1997812934250853,1.988386804112094
84,8,1.0,10,1334.4130835533142,0.0005,3,10,1.0,25,central,-18.741657191769576,0.8459712892184615,
85,8,1.0,10,1334.4130835533142,0.0005,3,10,1.0,25,local,-17.584945391285867,3.323718154732456,3.18547982048068
86,8,1.0,10,1334.4130835533142,0.0005,3,10,1.0,25,fl,-16.41549272013353,2.2543315803917854,2.0625022371015262
88,2,1.0,10,1347.1123750209808,0.0005,3,10,1.0,50,central,-18.62245071573312,1.1326239869635721,
89,2,1.0,10,1347.1123750209808,0.0005,3,10,1.0,50,local,-16.002083585391546,3.336474039565437,3.1243980538128433
90,2,1.0,10,1347.1123750209808,0.0005,3,10,1.0,50,fl,-16.13889636640595,2.3348057168921845,2.026832625605789
96,0,2.0,10,1531.795670747757,0.0005,3,10,1.0,50,central,-22.69225635347827,1.858467194865946,
97,0,2.0,10,1531.795670747757,0.0005,3,10,1.0,50,local,-16.07540228227291,6.169464619488204,5.916541686182527
98,0,2.0,10,1531.795670747757,0.0005,3,10,1.0,50,fl,-17.936941405771293,4.200108293880305,3.8085308923487653
108,1,2.0,10,1266.1071331501007,0.0005,3,10,1.0,100,central,-22.216466287471718,1.9382189752566719,
109,1,2.0,10,1266.1071331501007,0.0005,3,10,1.0,100,local,-15.591112109356809,5.757927439056909,5.441197920421731
110,1,2.0,10,1266.1071331501007,0.0005,3,10,1.0,100,fl,-17.631498289862,3.986205704441685,3.5031968745772892
112,1,0.2,10,1327.6136622428894,0.0005,3,10,1.0,10,central,-15.729253283935776,0.5247190162293126,
113,1,0.2,10,1327.6136622428894,0.0005,3,10,1.0,10,local,-47.94286781725979,1.6247796647144912,1.5474145086739837
114,1,0.2,10,1327.6136622428894,0.0005,3,10,1.0,10,fl,-17.150451943881134,1.1214345877402243,1.000191540628427
196,3,0.2,10,1344.1345846652985,0.0005,3,10,1.0,25,central,-15.499397160429272,0.3402337052625269,
197,3,0.2,10,1344.1345846652985,0.0005,3,10,1.0,25,local,-17.32181777070418,1.2731435724140563,1.2281338329704297
198,3,0.2,10,1344.1345846652985,0.0005,3,10,1.0,25,fl,-15.850136380938448,0.8608075853935029,0.7942553878575365
200,9,0.2,10,1362.1778326034546,0.0005,3,10,1.0,50,central,-15.52192681666493,0.33985593584979307,
