type,index,value
LL,0,-15.585483889728376
LL,1,-15.580644336994535
LL,2,-15.576611425157804
LL,3,-15.573295568249382
LL,4,-15.570826282999558
LL,5,-15.56914602522004
LL,6,-15.568107163595553
LL,7,-15.567884045759437
LL,8,-15.568379761815706
LL,9,-15.56960117573235
LL,10,-15.571519815049609
LL,11,-15.574139577354723
LL,12,-15.577515082525801
LL,13,-15.581510280727391
LL,14,-15.586182927906624
LL,15,-15.591302621506207
LL,16,-15.597125442928027
LL,17,-15.603645459307947
LL,18,-15.610806623967653
LL,19,-15.61849884893067
LL,20,-15.626789101446423
LL,21,-15.635576889874041
LL,22,-15.644829501037297
LL,23,-15.654722686311109
LL,24,-15.665261930764292
LL,25,-15.676207323725777
LL,26,-15.687777335150667
LL,27,-15.699696063260395
LL,28,-15.712359483031761
LL,29,-15.725395570986413
LL,30,-15.738796244157175
LL,31,-15.752852412586368
LL,32,-15.767330379406403
LL,33,-15.782268471353689
LL,34,-15.797645775150738
LL,35,-15.813479543390887
LL,36,-15.829812596351061
LL,37,-15.846501520636409
LL,38,-15.863549713196429
LL,39,-15.881074097154618
LL,40,-15.898892795763311
LL,41,-15.91722127443388
LL,42,-15.935769281471854
LL,43,-15.954734862008792
LL,44,-15.974203919130598
LL,45,-15.994030507060405
LL,46,-16.014143649761312
LL,47,-16.034678289161178
LL,48,-16.055367615874427
LL,49,-16.076530972782187
MSE,0,0.9176474107197071
MSE,1,0.911565603790281
MSE,2,0.7745889927916138
MSE,3,0.8956852819178156
MSE,4,1.0113440028495801
MSE,5,0.7906900499698564
MSE,6,0.9181684534426585
MSE,7,1.0660489618055629
MSE,8,0.9824985676455412
MSE,9,0.9685166542761655
