type,index,value
LL,0,-4.104205764373292
LL,1,-4.10173585256333
LL,2,-4.0994202533460795
LL,3,-4.09717591463733
LL,4,-4.095167587603914
LL,5,-4.093437760756704
LL,6,-4.091775503887585
LL,7,-4.090301620369092
LL,8,-4.089098265981154
LL,9,-4.0880118090803155
LL,10,-4.08711341990213
LL,11,-4.086384391790411
LL,12,-4.085856039507695
LL,13,-4.085478440359746
LL,14,-4.08530513070934
LL,15,-4.085242807597636
LL,16,-4.085174296689548
LL,17,-4.085380760627808
LL,18,-4.085750445024354
LL,19,-4.0863033373926765
LL,20,-4.086999232634192
LL,21,-4.087757633601262
LL,22,-4.088725634056987
LL,23,-4.089647994906484
LL,24,-4.0907090323256154
LL,25,-4.092016665970573
LL,26,-4.093494217954248
LL,27,-4.095053164673493
LL,28,-4.096753243019104
LL,29,-4.098340238658099
LL,30,-4.10028943394548
LL,31,-4.102404343337744
LL,32,-4.104573375416573
LL,33,-4.10690849551332
LL,34,-4.109310208105994
LL,35,-4.111777727686578
LL,36,-4.114414725515892
LL,37,-4.117114781188472
LL,38,-4.119982097542941
LL,39,-4.122955741512208
LL,40,-4.126015644179377
LL,41,-4.129202639113261
LL,42,-4.1324735089118985
LL,43,-4.135740818652121
LL,44,-4.139183230326745
LL,45,-4.142718090289233
LL,46,-4.14637414979958
LL,47,-4.150101947630763
LL,48,-4.153923243213393
LL,49,-4.157794878569037
MSE,0,0.40328024985550176
MSE,1,0.4464303346463723
MSE,2,0.7264807595555491
MSE,3,0.5279901608824019
MSE,4,0.49908301046086967
MSE,5,0.38836597164110914
MSE,6,0.4885641796199091
MSE,7,0.4969228417269908
MSE,8,0.3728321816129065
MSE,9,0.5764365532940503
